Date,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Atmospheric Pressure (hPa),Weather Condition
2024-03-12,14.8,44.0,0.0,5.2,1020.6,Sunny
2024-06-23,30.9,52.0,0.0,12.8,1020.6,Sunny
2023-02-26,7.8,61.0,0.0,13.4,1011.3,Cloudy
2024-11-26,12.3,53.0,0.0,14.1,1011.9,Cloudy
2024-12-23,12.2,49.0,0.0,10.5,1022.8,Sunny
2024-09-07,26.4,62.0,0.0,6.7,1011.4,Cloudy
2023-06-08,29.0,34.0,0.0,6.6,1014.5,Sunny
2023-03-30,9.9,97.0,36.4,59.6,998.6,Stormy
2023-08-09,32.8,51.0,0.0,7.5,1019.5,Sunny
2025-04-17,17.9,63.0,0.0,8.3,1012.8,Cloudy
2025-09-27,22.6,62.0,0.0,9.4,1013.2,Cloudy
2024-02-09,3.6,87.0,25.0,50.0,992.8,Stormy
2023-11-03,17.2,71.0,0.0,17.8,1013.7,Cloudy
2024-06-26,26.1,91.0,8.2,19.9,1000.4,Rainy
2024-08-20,24.2,85.0,10.4,24.7,1010.1,Rainy
2025-01-01,10.0,39.0,0.0,12.1,1021.7,Sunny
2024-06-16,23.1,92.0,51.1,59.0,998.8,Stormy
2023-06-28,33.6,36.0,0.0,11.1,1024.0,Sunny
2025-04-04,20.1,49.0,0.0,10.3,1020.3,Sunny
2024-02-16,9.7,60.0,0.0,15.2,1011.2,Cloudy
2025-07-10,22.0,89.0,51.4,57.7,996.1,Stormy
2024-09-08,24.7,63.0,0.7,8.5,1010.6,Cloudy
2024-03-29,17.3,48.0,0.0,12.8,1022.7,Sunny
2023-05-09,24.6,57.0,0.0,17.8,1015.4,Cloudy
2023-02-21,9.0,56.0,0.0,7.5,1009.8,Cloudy
2023-03-28,16.2,42.0,0.0,6.6,1024.3,Sunny
2025-05-30,27.7,43.0,0.0,15.2,1018.2,Sunny
2023-07-18,32.3,52.0,0.0,5.9,1024.2,Sunny
2025-10-31,12.5,78.0,21.8,12.2,1004.2,Rainy
2025-11-15,15.1,43.0,0.0,11.4,1017.8,Sunny
2024-10-19,19.0,74.0,0.0,19.4,1011.4,Cloudy
2025-10-27,12.6,79.0,10.7,17.5,1001.7,Rainy
2025-08-22,23.1,94.0,44.2,39.9,991.2,Stormy
2023-08-26,20.4,91.0,45.2,36.0,991.6,Stormy
2023-10-26,14.8,84.0,24.1,25.2,1008.3,Rainy
2023-12-19,10.9,50.0,0.0,12.2,1016.2,Sunny
2025-09-11,26.0,70.0,0.0,10.1,1012.9,Cloudy
2023-02-14,3.4,96.0,40.9,58.6,996.2,Stormy
2024-04-07,21.7,43.0,0.0,10.0,1015.5,Sunny
2025-10-01,21.9,69.0,0.0,16.0,1013.6,Cloudy
2024-04-09,17.9,41.0,0.0,14.9,1021.9,Sunny
2025-02-12,7.2,60.0,1.2,9.2,1013.8,Cloudy
2025-10-02,13.8,100.0,31.9,56.0,984.9,Stormy
2023-02-15,14.3,52.0,0.0,14.5,1023.4,Sunny
2023-04-24,19.9,71.0,0.0,17.1,1010.9,Cloudy
2025-08-19,32.8,50.0,0.0,7.8,1020.3,Sunny
2024-09-06,16.8,87.0,74.6,44.9,988.8,Stormy
2025-04-01,8.9,97.0,59.0,61.7,987.7,Stormy
2023-07-19,31.3,42.0,0.0,11.3,1015.6,Sunny
2023-10-01,27.8,43.0,0.0,6.8,1022.0,Sunny
2024-05-19,24.5,77.0,0.0,10.9,1014.2,Cloudy
2025-07-22,33.1,46.0,0.0,9.0,1022.1,Sunny
2024-09-10,29.5,38.0,0.0,7.1,1020.0,Sunny
2023-10-27,15.7,57.0,0.0,9.2,1009.0,Cloudy
2024-06-19,22.2,87.0,9.3,12.0,1009.0,Rainy
2023-03-12,11.4,51.0,0.0,5.7,1012.0,Cloudy
2025-02-24,4.7,85.0,12.9,19.9,1008.1,Rainy
2023-04-12,20.6,49.0,0.0,12.4,1016.3,Sunny
2023-11-28,,89.0,24.3,45.1,988.5,Stormy
2025-08-01,31.9,43.0,0.0,11.9,1023.1,Sunny
2024-07-12,24.5,88.0,2.5,12.6,1000.3,Rainy
2025-09-01,28.9,42.0,0.0,7.5,1022.1,Sunny
2023-05-22,27.9,38.0,0.0,6.4,1017.3,Sunny
2025-11-07,12.8,62.0,0.0,16.2,1008.8,Cloudy
2023-09-02,25.2,64.0,0.0,9.5,1012.6,Cloudy
2023-07-29,30.2,63.0,0.0,14.0,1015.8,Cloudy
2024-12-25,4.7,66.0,0.0,14.9,1014.7,Cloudy
2025-05-17,22.2,52.0,0.0,10.9,1008.8,Cloudy
2024-08-05,24.5,81.0,21.4,18.6,1000.4,Rainy
2025-01-11,14.2,36.0,0.0,8.4,1017.8,Sunny
2024-01-17,-0.6,85.0,38.7,44.8,987.0,Stormy
2023-02-01,7.2,65.0,0.0,19.1,1014.8,Cloudy
2024-03-21,12.7,60.0,0.0,16.3,1014.5,Cloudy
2023-08-07,32.8,39.0,0.0,7.4,1019.9,Sunny
2024-07-26,28.9,60.0,0.0,11.4,1012.8,Cloudy
2024-12-09,11.1,42.0,0.0,12.4,1022.3,Sunny
2025-07-30,26.8,84.0,8.9,20.7,1000.8,Rainy
2024-08-13,32.9,40.0,0.0,4.4,1019.9,Sunny
2025-10-05,13.7,99.0,50.5,49.9,998.9,Stormy
2023-04-20,22.2,40.0,0.0,12.7,1014.6,Sunny
